player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Jalen Green,player_assists,Underdog,Under,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_points,Underdog,Over,19.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_points,Underdog,Under,19.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_points,Underdog,Over,20.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_points,Underdog,Under,20.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Nikola Vucevic,player_points,Underdog,Over,18.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Nikola Vucevic,player_points,Underdog,Under,18.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Coby White,player_points,Underdog,Over,19.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Coby White,player_points,Underdog,Under,19.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Dillon Brooks,player_points,Underdog,Over,13.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Dillon Brooks,player_points,Underdog,Under,13.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Jabari Smith Jr,player_points,Underdog,Over,12.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Jabari Smith Jr,player_points,Underdog,Under,12.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_rebounds,Underdog,Over,10.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_rebounds,Underdog,Under,10.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_rebounds,Underdog,Over,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_rebounds,Underdog,Under,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Patrick Williams,player_rebounds,Underdog,Over,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Patrick Williams,player_rebounds,Underdog,Under,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_assists,PrizePicks,Over,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_assists,PrizePicks,Under,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Fred VanVleet,player_assists,PrizePicks,Over,7.0,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Fred VanVleet,player_assists,PrizePicks,Under,7.0,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_assists,PrizePicks,Over,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_assists,PrizePicks,Under,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Coby White,player_points,PrizePicks,Over,19.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
