player,prop,line,proj,side,diff
Aaron Wiggins,Steals,0.5,0.3,under,-0.2
Cason Wallace,Steals,0.5,0.3,under,-0.2
Stephen Curry,Steals,0.5,0.3,under,-0.2
Marcus Smart,Steals,0.5,0.3,under,-0.2
Buddy Hield,Steals,0.5,0.3,under,-0.2
Gary Payton II,Steals,0.5,0.3,under,-0.2
Gabe Vincent,Steals,0.5,0.3,under,-0.2
Clint Capela,Steals,0.5,0.6,over,0.1
Jaylin Williams,Steals,0.5,0.6,over,0.1
Al Horford,Steals,0.5,0.6,over,0.1
Jarred Vanderbilt,Steals,0.5,0.4,under,-0.1
Rui Hachimura,Steals,0.5,0.4,under,-0.1
Jake LaRavia,Steals,0.5,0.4,under,-0.1
Tari Eason,Blocks,0.5,1.4,over,0.9
Isaiah Hartenstein,Blocks,0.5,1.1,over,0.6
Alperen Sengun,Blocks,1.5,0.9,under,-0.6
Reed Sheppard,Blocks,0.5,1.1,over,0.6
Stephen Curry,Blocks,1.5,1,under,-0.5
Marcus Smart,Blocks,0.5,1,over,0.5
Buddy Hield,Blocks,0.5,1,over,0.5
Gary Payton II,Blocks,0.5,1,over,0.5
Jarred Vanderbilt,Blocks,0.5,1,over,0.5
Alex Caruso,Blocks,1.5,1.9,over,0.4
Luguentz Dort,Blocks,1.5,1.1,under,-0.4
Gabe Vincent,Blocks,0.5,0.9,over,0.4
Jonathan Kuminga,Blocks,0.5,0.9,over,0.4
Brandin Podziemski,Blocks,1.5,1.1,under,-0.4
Shai Gilgeous-Alexander,Blocks,1.5,1.8,over,0.3
Aaron Wiggins,Blocks,0.5,0.8,over,0.3
Jake LaRavia,Blocks,0.5,0.8,over,0.3
Clint Capela,Blocks,0.5,0.3,under,-0.2
Chet Holmgren,Blocks,0.5,0.7,over,0.2
Amen Thompson,Blocks,1.5,1.3,under,-0.2
Deandre Ayton,Blocks,0.5,0.7,over,0.2
Kevin Durant,Blocks,0.5,0.6,over,0.1
Aaron Holiday,Blocks,0.5,0.4,under,-0.1
Jabari Smith Jr.,Blocks,0.5,0.4,under,-0.1
Jaylin Williams,Blocks,0.5,0.4,under,-0.1
Cason Wallace,Blocks,1.5,1.6,over,0.1
Al Horford,Blocks,0.5,0.6,over,0.1
Draymond Green,Blocks,1.5,1.4,under,-0.1
Rui Hachimura,Blocks,0.5,0.6,over,0.1
Aaron Holiday,3-Pointers Made,0.5,1.6,over,1.1
Cason Wallace,3-Pointers Made,0.5,1.3,over,0.8
Tari Eason,3-Pointers Made,0.5,1.1,over,0.6
