Game,Tipoff,Season,Score,Over_Under,Home_Line
OKC @ CHI,Oct 26 8:00 PM,2024,114-95,231.5,9.5
ORL @ MEM,Oct 26 8:00 PM,2024,111-124,221.5,2.0
TOR @ MIN,Oct 26 8:00 PM,2024,101-112,219.0,-14.5
HOU @ SAS,Oct 26 8:30 PM,2024,106-109,223.0,1.5
DAL @ PHX,Oct 26 10:00 PM,2024,102-114,229.5,3.5
SAC @ LAL,Oct 26 10:30 PM,2024,127-131,230.5,-1.0
PHI @ IND,Oct 27 3:30 PM,2024,118-114,229.5,-8.5
MIL @ BKN,Oct 27 6:00 PM,2024,102-115,228.0,8.5
NOP @ POR,Oct 27 6:00 PM,2024,103-125,221.0,6.5
ATL @ OKC,Oct 27 7:00 PM,2024,104-128,230.0,-11.0
LAC @ GSW,Oct 27 8:30 PM,2024,112-104,221.5,-9.0
IND @ ORL,Oct 28 7:00 PM,2024,115-119,225.5,-5.5
WAS @ ATL,Oct 28 7:30 PM,2024,121-119,235.0,-7.5
MIL @ BOS,Oct 28 7:30 PM,2024,108-119,232.0,-9.0
DET @ MIA,Oct 28 7:30 PM,2024,98-106,219.5,-8.5
CLE @ NYK,Oct 28 7:30 PM,2024,110-104,222.5,-3.0
DEN @ TOR,Oct 28 7:30 PM,2024,127-125,224.0,8.5
CHI @ MEM,Oct 28 8:00 PM,2024,126-123,232.0,-5.0
HOU @ SAS,Oct 28 8:00 PM,2024,106-101,220.0,2.5
UTA @ DAL,Oct 28 8:30 PM,2024,102-110,232.0,-12.0
LAL @ PHX,Oct 28 10:00 PM,2024,105-109,229.5,-4.5
POR @ SAC,Oct 28 10:00 PM,2024,98-111,231.0,-13.0
DEN @ BKN,Oct 29 7:30 PM,2024,144-139,218.5,5.5
DAL @ MIN,Oct 29 7:30 PM,2024,120-114,220.5,-4.0
SAC @ UTA,Oct 29 9:00 PM,2024,113-96,235.0,6.5
NOP @ GSW,Oct 29 10:00 PM,2024,106-124,217.0,1.5
TOR @ CHA,Oct 30 7:00 PM,2024,133-138,225.0,-6.5
LAL @ CLE,Oct 30 7:00 PM,2024,110-134,226.5,-4.0
BOS @ IND,Oct 30 7:00 PM,2024,132-135,235.5,6.5
DET @ PHI,Oct 30 7:00 PM,2024,105-95,219.5,-4.0
ATL @ WAS,Oct 30 7:00 PM,2024,120-133,233.5,5.5
NYK @ MIA,Oct 30 7:30 PM,2024,116-107,214.5,2.0
