name,pos,age
Anthony Lamb,SF,23.0
Rajon Rondo,PG,34.0
Derrick Favors,C,29.0
Tyler Johnson,SG,28.0
Jahlil Okafor,C,25.0
Justin Patton,C,23.0
Mason Jones,SG,22.0
Willie Cauley-Stein,C,27.0
Jarrett Culver,SG,21.0
Glenn Robinson III,SF,27.0
Tony Snell,SG,29.0
Maurice Harkless,SF,27.0
D.J. Wilson,PF,24.0
Alize Johnson,PF,24.0
Patrick Patterson,PF,31.0
Dylan Windler,SF,24.0
Sekou Doumbouya,PF,20.0
Jake Layman,SF,26.0
Nerlens Noel,C,26.0
Marc Gasol,C,36.0
Trey Lyles,PF,25.0
Tyler Cook,SF,23.0
Brandon Goodwin,PG,25.0
E'Twaun Moore,SG,31.0
Jerome Robinson,SG,23.0
Langston Galloway,SG,29.0
Wesley Matthews,SG,34.0
Damian Jones,C,25.0
Troy Brown Jr.,SF,21.0
Boban Marjanović,C,32.0
Nassir Little,PF,20.0
Semi Ojeleye,PF,26.0
JaKarr Sampson,PF,27.0
Rodney Hood,SF,28.0
Solomon Hill,PF,29.0
Kelan Martin,SF,25.0
Al-Farouq Aminu,PF,30.0
Charlie Brown Jr.,SG,23.0
Andre Iguodala,SF,37.0
Stanley Johnson,PF,24.0
Yuta Watanabe,SF,26.0
Chandler Hutchison,SF,24.0
Devin Cannady,PG,24.0
Mike Scott,PF,32.0
Josh Hall,SF,20.0
