PLAYER_ID,POSITION
1628539,Guard
1629103,Forward
1630605,Guard
1629712,Guard
201961,Guard
1629635,Forward
1629076,Forward
1630582,Forward
1630271,Guard
1630218,Forward
1628778,Guard
1629719,Forward
1629109,Forward
1629083,Forward
1630575,Guard
1629168,Forward
1630758,Forward
1630602,Forward
1629755,Guard
203516,Forward
1629619,Guard
1629203,Forward
1628422,Guard
2207,Guard-Forward
1630286,Forward
1630278,Guard
1626144,Guard
1630589,Forward
101139,Guard
202362,Forward
1626147,Forward-Guard
1630273,Center
204025,Guard
202688,Guard
1628994,Forward-Guard
1628411,Forward
1627767,Forward-Center
1627760,Guard
1629683,Guard
1629788,Guard
1629760,Guard
201954,Guard
1629783,Guard
1630199,Guard
1629607,Guard
1628476,Guard
1630179,Guard
1629686,Forward-Guard
1629600,Guard
1630787,Forward
1628591,Guard
1629309,Guard
1629150,Forward
1629658,Forward
1628419,Forward
203816,Guard-Forward
1626208,Guard
1630306,Guard
1629005,Guard
1629751,Guard
1630693,Center
1630640,Guard
1629657,Guard
1629164,Guard
1629873,Guard
1629602,Center
1628238,Forward
1630257,Center
1628537,Guard
1629958,Guard
1628395,Forward
203658,Center
1629597,Forward
1627820,Guard
1629962,Guard
1630994,Guard
1628982,Guard-Forward
1630624,Forward
1628449,Forward
1630201,Guard
202722,Forward
2738,Guard-Forward
200755,Guard
202335,Forward
1629066,Forward
1626188,Guard
1629690,Guard
1629665,Guard
203382,Center-Forward
1628407,Guard-Forward
203998,Forward
203922,Forward
203960,Forward
1628961,Forward
1628390,Guard
1627748,Forward-Center
1629713,Guard-Forward
1628414,Guard
1630221,Forward
1630253,Forward
1630211,Guard
1629738,Center-Forward
1629648,Guard
1628394,Center-Forward
1626245,Forward-Center
203121,Forward
1629121,Guard
1630223,Guard
1630185,Guard
1630189,Forward
1628968,Forward-Guard
1628412,Guard
202329,Forward
1629034,Forward
1626184,Guard
203460,Guard-Forward
1627775,Guard
1628383,Center
202697,Guard
204222,Forward
1630268,Guard
1627740,Forward-Center
1629346,Forward
1629244,Forward
1630203,Guard
1630266,Center
203263,Forward
1629743,Center
1629606,Forward
1628578,Center
2760,Forward
1629017,Guard
1629725,Guard
