name,pos,age
Chris Paul,PG,38
Brandin Podziemski,SG,20
Duop Reath,C,27
Sam Hauser,SF,26
Taurean Prince,PF,29
Jabari Walker,PF,21
Dereck Lively II,C,19
Kevin Love,PF,35
Terance Mann,SG,27
Ausar Thompson,SF,21
Draymond Green,PF,33
Al Horford,C,37
Derrick Jones Jr.,SF,26
Gradey Dick,SG,20
Dorian Finney-Smith,PF,30
Tristan Vukcevic,C,20
Bilal Coulibaly,SF,19
Andre Drummond,C,30
Miles McBride,PG,23
Marcus Sasser,PG,23
Josh Green,SG,23
Isaiah Joe,SG,24
Ziaire Williams,SF,22
Kyle Lowry,PG,37
Walker Kessler,C,22
Moses Moody,SG,21
Nickeil Alexander-Walker,SG,25
Sam Merrill,SG,27
Derrick Rose,PG,35
Dario Šarić,C,29
Trayce Jackson-Davis,PF,23
Danté Exum,PG,28
Markelle Fultz,PG,25
Isaiah Hartenstein,C,25
Jordan Hawkins,SG,21
Royce O'Neale,SF,30
RaiQuan Gray,PF,24
Nikola Jović,PF,20
Precious Achiuwa,C,24
Toumani Camara,PF,23
Cody Martin,SF,28
Brice Sensabaugh,SF,20
Cameron Payne,PG,29
Christian Braun,SG,22
Jaden Hardy,SG,21
Taylor Hendricks,PF,20
Paul Reed,C,24
Lamar Stevens,PF,26
Johnny Juzang,SG,22
Kevin Knox,SF,24
Trey Lyles,PF,28
Jose Alvarado,PG,25
Naji Marshall,SF,26
Landry Shamet,SG,26
James Wiseman,C,22
Vasilije Micić,PG,30
Jordan Nwora,SF,25
Quentin Grimes,SG,23
Javon Freeman-Liberty,PG,24
Evan Fournier,SG,31
Gary Harris,SG,29
Killian Hayes,PG,22
Bones Hyland,PG,23
Mãozinha Pereira,SF,23
Trendon Watford,PF,23
Aaron Wiggins,SG,25
Christian Wood,PF,28
Trey Jemison,C,24
Julian Champagnie,SF,22
Jonathan Isaac,PF,26
Cedi Osman,SF,28
Day'Ron Sharpe,C,22
Cason Wallace,SG,20
Robert Williams,C,26
Dāvis Bertāns,PF,31
Jahmi'us Ramsey,SG,22
Peyton Watson,SF,21
Amir Coffey,SF,26
Aaron Holiday,PG,27
Dennis Smith Jr.,PG,26
Chimezie Metu,C,26
Jordan Goodwin,PG,25
David Roddy,PF,22
David Duke Jr.,SG,24
Jeff Green,PF,37
Isaiah Jackson,C,22
Marcus Morris,PF,34
Kyle Anderson,PF,30
Chris Boucher,PF,31
Jared Butler,SG,23
Bruno Fernando,C,25
Daniel Theis,C,31
Jaylen Nowell,SG,24
Patrick Beverley,PG,35
Jae Crowder,PF,33
Keon Johnson,SG,21
Haywood Highsmith,PF,27
Vít Krejčí,PG,23
Kris Murray,SF,23
Ben Simmons,PG,27
Zavier Simpson,PG,26
Tosan Evbuomwan,SF,22
Justin Champagnie,SF,22
