,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
143,Jalen Williams,BetRivers,player_points,20.5,Under,-105,0.511,-0.23,0.0
144,Alex Caruso,Bovada,player_points,8.5,Under,115,0.464,-0.25,0.0
145,Alex Caruso,BetRivers,player_points,7.5,Over,-167,0.624,-0.28,0.0
146,Jalen Williams,BetRivers,player_points,19.5,Under,115,0.463,-0.48,0.0
147,Jalen Williams,Bovada,player_points,23.5,Under,-200,0.663,-0.62,0.0
148,Myles Turner,Bovada,player_points,15.5,Over,110,0.473,-0.66,0.0
149,Chet Holmgren,Bovada,player_points,17.5,Over,165,0.375,-0.7,0.0
150,Aaron Wiggins,DraftKings,player_points,6.5,Under,-120,0.541,-0.73,0.0
151,Myles Turner,Bovada,player_points,16.5,Over,145,0.404,-1.04,0.0
152,Alex Caruso,Bovada,player_points,7.5,Under,160,0.381,-1.07,0.0
153,Luguentz Dort,Bovada,player_points,8.5,Under,-115,0.528,-1.33,0.0
154,Obi Toppin,Bovada,player_points,11.5,Under,-220,0.676,-1.62,0.0
155,Tyrese Haliburton,Bovada,player_points,16.5,Over,-160,0.605,-1.72,0.0
156,Luguentz Dort,Bovada,player_points,7.5,Under,125,0.437,-1.73,0.0
157,Tyrese Haliburton,Bovada,player_points,17.5,Over,-125,0.544,-2.06,0.0
158,Obi Toppin,BetRivers,player_points,10.5,Under,-157,0.598,-2.19,0.0
159,Obi Toppin,DraftKings,player_points,9.5,Under,-115,0.523,-2.31,0.0
160,Chet Holmgren,BetRivers,player_points,16.5,Over,116,0.452,-2.4,0.0
161,Aaron Wiggins,BetOnline.ag,player_points,6.5,Under,-127,0.545,-2.56,0.0
162,Luguentz Dort,BetRivers,player_points,7.5,Over,-143,0.572,-2.79,0.0
163,Luguentz Dort,BetOnline.ag,player_points,8.5,Under,-119,0.528,-2.87,0.0
164,Aaron Wiggins,BetRivers,player_points,6.5,Under,-134,0.556,-2.93,0.0
165,Obi Toppin,Bovada,player_points,10.5,Under,-165,0.604,-2.95,0.0
166,Obi Toppin,BetOnline.ag,player_points,9.5,Under,-119,0.527,-3.05,0.0
167,Bennedict Mathurin,Bovada,player_points,7.5,Over,-185,0.628,-3.18,0.0
168,Bennedict Mathurin,Bovada,player_points,6.5,Under,200,0.322,-3.33,0.0
169,Alex Caruso,DraftKings,player_points,8.5,Over,-125,0.537,-3.34,0.0
170,Obi Toppin,FanDuel,player_points,9.5,Under,-122,0.53,-3.57,0.0
171,Alex Caruso,BetRivers,player_points,8.5,Over,-125,0.534,-3.87,0.0
172,Obi Toppin,BetRivers,player_points,9.5,Under,-121,0.526,-3.87,0.0
173,Obi Toppin,Bovada,player_points,9.5,Under,-120,0.523,-4.08,0.0
