,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
316,Jalen Williams,Bovada,player_points,24.5,Over,155,0.275,-29.78,0.0
317,Aaron Nesmith,BetOnline.ag,player_points,11.5,Under,-122,0.385,-29.87,0.0
318,Aaron Nesmith,Bovada,player_points,12.5,Under,-165,0.436,-29.96,0.0
319,T.J. McConnell,FanDuel,player_points,7.5,Under,-136,0.403,-30.12,0.0
320,Aaron Nesmith,DraftKings,player_points,11.5,Under,-120,0.38,-30.36,0.0
321,Aaron Nesmith,BetRivers,player_points,10.5,Under,118,0.318,-30.63,0.0
322,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Over,-165,0.432,-30.67,0.0
323,Myles Turner,BetRivers,player_points,12.5,Under,115,0.321,-30.89,0.0
324,Jalen Williams,Bovada,player_points,25.5,Over,190,0.236,-31.58,0.0
325,Andrew Nembhard,Bovada,player_points,11.5,Under,-160,0.421,-31.62,0.0
326,Aaron Nesmith,Bovada,player_points,11.5,Under,-125,0.38,-31.65,0.0
327,Andrew Nembhard,BetRivers,player_points,10.5,Under,-105,0.35,-31.71,0.0
328,Cason Wallace,BetOnline.ag,player_points,6.5,Over,100,0.337,-32.55,0.0
329,Myles Turner,Bovada,player_points,11.5,Under,160,0.257,-33.19,0.0
330,T.J. McConnell,BetRivers,player_points,6.5,Under,104,0.325,-33.72,0.0
331,Aaron Nesmith,Bovada,player_points,9.5,Under,145,0.268,-34.24,0.0
332,Aaron Nesmith,Bovada,player_points,10.5,Under,105,0.32,-34.34,0.0
333,Shai Gilgeous-Alexander,Bovada,player_points,32.5,Over,-135,0.374,-34.97,0.0
334,Andrew Nembhard,FanDuel,player_points,10.5,Under,-120,0.354,-35.07,0.0
335,Aaron Nesmith,Bovada,player_points,8.5,Under,200,0.216,-35.15,0.0
336,Andrew Nembhard,DraftKings,player_points,10.5,Under,-115,0.346,-35.27,0.0
337,Andrew Nembhard,BetOnline.ag,player_points,10.5,Under,-118,0.348,-35.62,0.0
338,Shai Gilgeous-Alexander,BetRivers,player_points,32.5,Over,-143,0.377,-35.92,0.0
339,Andrew Nembhard,Bovada,player_points,10.5,Under,-120,0.349,-35.93,0.0
340,Luguentz Dort,Bovada,player_points,11.5,Over,200,0.211,-36.74,0.0
341,Shai Gilgeous-Alexander,Bovada,player_points,33.5,Over,-115,0.336,-37.19,0.0
342,Myles Turner,Bovada,player_points,10.5,Under,215,0.197,-37.9,0.0
343,Shai Gilgeous-Alexander,BetOnline.ag,player_points,33.5,Over,-115,0.331,-38.09,0.0
344,Shai Gilgeous-Alexander,DraftKings,player_points,33.5,Over,-120,0.33,-39.42,0.0
345,Shai Gilgeous-Alexander,Bovada,player_points,34.5,Over,105,0.291,-40.28,0.0
346,Andrew Nembhard,Bovada,player_points,9.5,Under,115,0.278,-40.32,0.0
347,Shai Gilgeous-Alexander,BetRivers,player_points,33.5,Over,-121,0.326,-40.48,0.0
348,Shai Gilgeous-Alexander,FanDuel,player_points,33.5,Over,-128,0.327,-41.81,0.0
349,Andrew Nembhard,Bovada,player_points,8.5,Under,160,0.222,-42.37,0.0
350,Shai Gilgeous-Alexander,BetRivers,player_points,34.5,Over,-104,0.285,-44.17,0.0
351,Isaiah Hartenstein,DraftKings,player_points,6.5,Under,-125,0.287,-48.4,0.0
352,Shai Gilgeous-Alexander,Bovada,player_points,35.5,Over,120,0.233,-48.8,0.0
353,Shai Gilgeous-Alexander,BetRivers,player_points,35.5,Over,112,0.241,-48.97,0.0
354,Isaiah Hartenstein,BetOnline.ag,player_points,6.5,Under,-133,0.287,-49.71,0.0
355,Shai Gilgeous-Alexander,Bovada,player_points,36.5,Over,145,0.205,-49.87,0.0
356,Shai Gilgeous-Alexander,Bovada,player_points,37.5,Over,170,0.173,-53.41,0.0
357,Shai Gilgeous-Alexander,Bovada,player_points,38.5,Over,200,0.145,-56.56,0.0
358,Isaiah Hartenstein,FanDuel,player_points,5.5,Under,100,0.208,-58.38,0.0
359,Isaiah Hartenstein,BetRivers,player_points,5.5,Under,-105,0.211,-58.8,0.0
