PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD
Moritz Wagner,1629021,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,10,0,5,4,8,0.5,0,1,0.0,2,4,0.5,2,3,1,0,0,1,19.0,1.025,0.5,,,95.8,86.7,88.0,89.3,7.8,0.118,0.2,0.156,0.0,0.5,0.0,0.345,0.512,93.02,89.09,0.197,24,74.24,0.339,13:12,4.47,1.04,7,5,12,22,0,0,13,4,7,0.571,0,1,0.0,0,1,0.0,4.0,4.0,2.0,8.0,3.0,3.0,2.0,12.0,1.0,3.0,4.0
Isaiah Hartenstein,1628392,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,6,3,7,1,4,0.25,0,0,,4,4,1.0,5,2,0,2,0,-13,24.9,1.042,0.25,C,,109.7,105.6,146.9,136.6,-37.2,0.217,0.118,0.175,0.273,0.25,0.0,0.14,0.521,90.56,85.67,0.122,31,71.39,0.142,17:39,4.01,1.27,8,4,12,34,0,0,27,1,2,0.5,0,2,0.0,1,3,0.333,2.0,2.0,0.0,2.0,9.0,2.0,5.0,18.0,0.0,3.0,2.0
OG Anunoby,1628384,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,11,0,4,5,10,0.5,1,3,0.333,0,0,,1,3,1,0,1,-5,17.8,1.1,0.55,F,,125.9,120.7,136.8,134.7,-11.0,0.027,0.111,0.063,0.0,0.55,0.0,0.141,0.55,90.32,87.73,0.058,58,73.11,0.142,31:28,3.89,2.21,3,4,6,35,0,1,24,3,4,0.75,2,6,0.333,0,1,0.0,2.0,2.0,2.0,8.0,18.0,2.0,9.0,30.0,0.0,2.0,0.0
Jonathan Isaac,1628371,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,10,1,5,3,8,0.375,2,4,0.5,2,2,1.0,2,3,3,3,0,-13,35.5,1.126,0.5,C,,87.9,85.7,108.5,107.2,-20.5,0.054,0.136,0.085,0.071,0.5,0.0,0.136,0.563,99.8,97.95,0.139,58,81.63,0.137,28:40,4.11,2.1,5,7,12,35,0,0,26,1,3,0.333,2,5,0.4,2,3,0.667,4.0,2.0,5.0,2.0,11.0,6.0,5.0,26.0,1.0,2.0,2.0
Donovan Mitchell,1628378,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,30,3,2,11,21,0.524,3,8,0.375,5,5,1.0,2,0,3,0,4,10,41.9,1.293,0.5952380952380952,G,,105.4,104.7,91.9,91.1,13.5,0.063,0.0,0.026,0.176,0.595,0.75,0.321,0.647,99.44,98.67,0.188,74,82.22,0.323,36:00,3.85,2.47,2,2,4,71,0,0,39,7,10,0.7,4,11,0.364,2,2,1.0,7.0,2.0,5.0,14.0,17.0,9.0,16.0,28.0,0.0,1.0,5.0
Jarrett Allen,1628386,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,16,2,18,6,10,0.6,0,0,,4,6,0.667,3,15,2,0,0,10,46.6,1.266,0.6,C,,104.1,104.7,91.7,90.8,12.4,0.1,0.349,0.247,0.091,0.6,0.0,0.159,0.633,99.11,98.92,0.257,73,82.43,0.161,35:11,4.01,2.5,13,20,31,48,0,0,36,3,7,0.429,3,3,1.0,1,3,0.333,4.0,4.0,0.0,12.0,17.0,7.0,16.0,26.0,2.0,1.0,5.0
Max Strus,1629622,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,7,1,9,3,8,0.375,1,5,0.2,0,0,,0,9,1,0,5,13,17.3,0.875,0.4375,F,,108.8,107.9,91.0,90.0,17.8,0.0,0.22,0.132,0.042,0.438,0.2,0.171,0.438,100.11,99.08,0.046,68,82.57,0.172,32:42,4.25,2.47,1,10,11,55,0,0,41,1,2,0.5,2,6,0.333,1,2,0.5,2.0,0.0,2.0,4.0,15.0,7.0,14.0,26.0,1.0,3.0,2.0
Sam Merrill,1630241,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,0,1,2,0,2,0.0,0,2,0.0,0,0,,1,1,0,0,0,0,3.9,0.0,0.0,,,87.5,88.8,87.5,79.9,0.0,0.2,0.2,0.2,0.333,0.0,0.0,0.222,0.0,93.97,90.35,-0.053,8,75.29,0.225,4:15,4.74,0.36,1,2,3,7,0,0,5,0,1,0.0,0,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0
Franz Wagner,1630532,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,18,3,7,7,15,0.467,2,6,0.333,2,4,0.5,1,6,1,3,0,-7,42.9,1.074,0.5333333333333333,F,,89.6,88.0,98.7,97.9,-9.1,0.02,0.167,0.081,0.188,0.533,0.0,0.191,0.537,99.73,98.43,0.148,77,82.02,0.194,37:33,4.29,2.86,2,11,13,61,0,0,38,4,6,0.667,3,9,0.333,3,4,0.75,0.0,0.0,2.0,10.0,15.0,6.0,5.0,34.0,0.0,3.0,2.0
Jalen Suggs,1630591,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,13,4,4,4,16,0.25,1,7,0.143,4,6,0.667,3,1,2,1,1,-13,31.8,0.697,0.28125,G,,91.0,90.0,108.8,107.9,-17.8,0.073,0.037,0.059,0.235,0.281,4.0,0.25,0.349,100.11,99.08,0.018,67,82.57,0.254,32:42,3.93,2.29,3,5,8,59,1,1,41,2,5,0.4,2,11,0.182,3,5,0.6,8.0,5.0,6.0,6.0,13.0,6.0,5.0,32.0,1.0,5.0,4.0
