Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
LaMelo Ball,PG,PTS+REB,25.5,Philadelphia 76ers,-118,-105,0.541,0.512,12.88,-24.05,27.2,26.0,6.05,-0.281,0.611,0.389,1.0,0.8,0.73,26.96,5.27,0.32,0.04,28.0,4.0,-6.5,230.5,114.8,17,100.33,16
LaMelo Ball,PG,PTS+REB,25.5,Boston Celtics,-118,-105,0.541,0.512,12.88,-24.05,27.2,26.0,6.05,-0.281,0.611,0.389,1.0,0.8,0.73,26.96,5.27,0.32,0.04,32.67,3.0,-2.5,215.5,111.5,4,95.47,30
Kyle Filipowski,C,PTS+REB+AST,23.5,Phoenix Suns,-114,-109,0.533,0.522,12.26,-22.92,25.5,23.5,8.1,-0.247,0.598,0.402,0.2,0.5,0.47,26.08,4.62,0.22,0.08,13.5,6.0,16.5,231.5,113.0,10,98.03,25
Joel Embiid,C,TOV,2.5,Charlotte Hornets,-137,-137,0.578,0.578,10.54,-37.55,3.0,2.5,1.41,-0.355,0.639,0.361,0.4,0.5,0.53,34.73,5.58,0.35,0.05,4.0,2.0,6.5,230.5,113.6,13,97.9,26
Devin Booker,SG,PTS+REB+AST,36.5,Utah Jazz,-110,-105,0.524,0.512,9.01,-16.24,38.2,36.5,9.47,-0.18,0.571,0.429,0.2,0.5,0.4,34.54,1.51,0.33,0.07,48.0,6.0,-16.5,231.5,120.7,29,102.95,2
Tre Jones,PG,PTS+REB+AST,23.5,Memphis Grizzlies,-108,-113,0.519,0.531,9.01,-18.19,24.5,26.5,6.06,-0.165,0.566,0.434,0.8,0.7,0.53,29.39,2.99,0.2,0.03,14.33,3.0,-4.5,246.0,117.2,22,101.41,10
Brice Sensabaugh,SF,3PM,2.5,Phoenix Suns,-115,101,0.535,0.498,8.43,-15.58,2.9,2.5,1.97,-0.203,0.58,0.42,0.8,0.5,0.53,26.42,5.81,0.31,0.05,0.8,5.0,16.5,231.5,113.0,10,98.03,25
Jalen Green,SG,PTS+REB,24.5,Utah Jazz,-150,115,0.6,0.465,7.17,-23.25,27.5,27.5,8.17,-0.367,0.643,0.357,0.6,0.8,0.6,32.11,2.98,0.31,0.05,27.67,3.0,-16.5,231.5,120.7,29,102.95,2
Taylor Hendricks,PF,PTS,11.5,Chicago Bulls,-114,100,0.533,0.5,6.81,-13.8,12.2,12.5,4.05,-0.173,0.569,0.431,0.8,0.6,0.6,25.45,2.37,0.18,0.06,9.5,2.0,4.5,246.0,117.3,23,102.79,3
Paul George,SF,PTS,15.5,Charlotte Hornets,100,-118,0.5,0.541,6.6,-13.72,16.1,15.0,7.19,-0.083,0.533,0.467,0.2,0.4,0.33,32.48,2.54,0.21,0.06,20.5,4.0,6.5,230.5,113.6,13,97.9,26
Maxime Raynaud,C,PTS+REB,25.5,Atlanta Hawks,-110,-110,0.524,0.524,6.15,-15.24,26.9,28.5,9.85,-0.142,0.556,0.444,0.6,0.6,0.6,32.5,5.42,0.21,0.05,11.0,1.0,14.5,236.5,113.1,11,102.59,4
Kyle Filipowski,C,PTS+REB,20.5,Phoenix Suns,-108,-112,0.519,0.528,5.93,-14.82,21.5,20.0,7.98,-0.125,0.55,0.45,0.2,0.5,0.47,26.08,4.62,0.22,0.08,12.33,6.0,16.5,231.5,113.0,10,98.03,25
Brice Sensabaugh,SF,PTS,20.5,Phoenix Suns,-102,-118,0.505,0.541,5.75,-13.91,21.4,21.5,10.55,-0.085,0.534,0.466,1.0,0.6,0.53,26.42,5.81,0.31,0.05,3.8,5.0,16.5,231.5,113.0,10,98.03,25
Josh Giddey,SG,REB+AST,20.5,Memphis Grizzlies,-110,-110,0.524,0.524,4.81,-13.9,21.4,22.5,7.4,-0.122,0.549,0.451,0.6,0.7,0.47,35.72,4.65,0.21,0.03,21.33,3.0,-4.5,246.0,117.2,22,101.41,10
Matas Buzelis,SF,PTS,20.5,Memphis Grizzlies,-113,-110,0.531,0.524,4.05,-14.47,21.6,20.0,8.46,-0.13,0.552,0.448,0.4,0.4,0.33,32.81,6.08,0.25,0.03,14.33,3.0,-4.5,246.0,117.2,22,101.41,10
Dyson Daniels,PG,PTS+REB+AST,24.5,Sacramento Kings,-120,-102,0.545,0.505,2.3,-12.47,25.8,27.5,8.92,-0.146,0.558,0.442,0.6,0.7,0.6,30.86,4.46,0.15,0.03,22.0,2.0,-14.5,236.5,120.2,28,100.31,17
Brice Sensabaugh,SF,PTS+AST,22.5,Phoenix Suns,-114,-114,0.533,0.533,2.12,-14.4,23.7,23.0,10.8,-0.111,0.544,0.456,0.8,0.5,0.47,26.42,5.81,0.31,0.05,4.0,5.0,16.5,231.5,113.0,10,98.03,25
DeMar DeRozan,SF,PTS,17.5,Atlanta Hawks,-106,-110,0.515,0.524,1.83,-9.13,18.3,14.0,13.17,-0.061,0.524,0.476,0.2,0.3,0.33,30.13,7.5,0.24,0.08,15.5,2.0,14.5,236.5,113.1,11,102.59,4
Brice Sensabaugh,SF,PTS+REB,23.5,Phoenix Suns,-115,-105,0.535,0.512,1.52,-10.78,24.7,24.0,11.26,-0.107,0.543,0.457,1.0,0.5,0.47,26.42,5.81,0.31,0.05,5.4,5.0,16.5,231.5,113.0,10,98.03,25
Duncan Robinson,SG,PTS+REB+AST,15.5,Minnesota Timberwolves,-125,105,0.556,0.488,1.52,-10.62,16.5,16.5,6.17,-0.162,0.564,0.436,0.2,0.5,0.4,24.6,3.53,0.15,0.03,16.0,2.0,-1.5,221.0,112.2,6,101.42,9
Paul George,SF,PTS+REB+AST,24.5,Charlotte Hornets,-105,-125,0.512,0.556,1.52,-13.6,24.9,24.0,8.23,-0.049,0.52,0.48,0.2,0.5,0.47,32.48,2.54,0.21,0.06,33.75,4.0,6.5,230.5,113.6,13,97.9,26
