Player,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L5,Std Stat L5,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L5,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Payton Pritchard,PTS+REB,19.5,Memphis Grizzlies,-114,-110,0.533,0.524,-19.66,9.2,17.8,5.81,0.428,0.572,0.4,0.5,0.53,34.3,-15.0,229.0,116.5,22,101.55,10
Jrue Holiday,PTS+REB+AST,24.5,Minnesota Timberwolves,-112,-105,0.528,0.512,-19.74,12.46,22.2,11.45,0.424,0.576,0.6,0.8,0.67,29.5,2.5,231.5,112.8,9,101.55,9
Landry Shamet,REB,2.5,Brooklyn Nets,-112,-108,0.528,0.519,-20.12,11.32,2.2,1.79,0.422,0.578,0.4,0.4,0.27,26.52,-17.5,214.5,118.2,27,97.33,27
Reed Sheppard,3PM,2.5,Atlanta Hawks,-120,-104,0.545,0.51,-20.98,11.61,2.2,1.79,0.431,0.569,0.4,0.7,0.67,28.21,-3.5,227.0,113.1,11,102.82,2
Jerami Grant,PTS+REB+AST,21.5,Minnesota Timberwolves,-118,-110,0.541,0.524,-21.48,9.77,19.6,7.7,0.425,0.575,0.4,0.6,0.6,31.21,2.5,231.5,112.8,9,101.55,9
Alperen Sengun,PTS+AST,24.5,Atlanta Hawks,-135,105,0.574,0.488,-21.49,12.54,23.4,9.81,0.451,0.549,0.4,0.4,0.4,28.9,-3.5,227.0,113.1,11,102.82,2
Neemias Queta,PTS+REB+AST,21.5,Memphis Grizzlies,-118,-106,0.541,0.515,-23.52,13.88,18.6,10.67,0.414,0.586,0.2,0.3,0.33,27.69,-15.0,229.0,116.5,22,101.55,10
Scottie Barnes,PTS+REB,23.5,Denver Nuggets,-118,-104,0.541,0.51,-23.7,15.14,22.6,5.32,0.413,0.587,0.6,0.3,0.33,33.1,7.0,238.5,115.8,21,99.36,20
Reed Sheppard,PTS+REB+AST,19.5,Atlanta Hawks,-105,-118,0.512,0.541,-23.86,12.69,17.0,5.2,0.39,0.61,0.2,0.6,0.67,28.21,-3.5,227.0,113.1,11,102.82,2
Julius Randle,3PM,1.5,Portland Trail Blazers,-105,100,0.512,0.5,-25.61,23.8,1.2,1.3,0.381,0.619,0.4,0.2,0.2,30.02,-2.5,231.5,114.7,18,101.95,7
Aaron Gordon,PTS+REB+AST,23.5,Toronto Raptors,-110,-102,0.524,0.505,-25.74,21.0,20.6,14.12,0.389,0.611,0.4,0.6,0.67,25.22,-7.0,238.5,112.0,7,99.25,22
Jrue Holiday,PTS+AST,20.5,Minnesota Timberwolves,-118,-110,0.541,0.524,-25.92,14.35,17.6,10.67,0.401,0.599,0.4,0.7,0.67,29.5,2.5,231.5,112.8,9,101.55,9
Aaron Gordon,PTS,15.5,Toronto Raptors,-111,100,0.526,0.5,-26.25,22.4,13.0,11.9,0.388,0.612,0.4,0.5,0.53,25.22,-7.0,238.5,112.0,7,99.25,22
Tobias Harris,PTS,13.5,Golden State Warriors,-105,-109,0.512,0.522,-26.4,19.46,11.4,7.3,0.377,0.623,0.4,0.5,0.4,25.12,-5.0,217.0,113.5,14,100.24,16
Tobias Harris,PTS+REB+AST,22.5,Golden State Warriors,-105,-117,0.512,0.539,-26.59,15.73,20.0,7.97,0.376,0.624,0.4,0.5,0.47,25.12,-5.0,217.0,113.5,14,100.24,16
