BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
Underdog,player_points,Ja Morant,Under,25.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Pascal Siakam,Over,21.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Pascal Siakam,Under,21.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Aaron Nesmith,Over,13.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Aaron Nesmith,Under,13.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Kentavious Caldwell-Pope,Over,8.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Kentavious Caldwell-Pope,Under,8.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jaren Jackson Jr,Over,22.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jaren Jackson Jr,Under,22.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Obi Toppin,Over,14.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Obi Toppin,Under,14.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Bennedict Mathurin,Over,22.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Bennedict Mathurin,Under,22.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Santi Aldama,Over,11.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Santi Aldama,Under,11.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jarace Walker,Over,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jarace Walker,Under,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Javon Small,Over,6.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Javon Small,Under,6.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Ben Sheppard,Over,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Ben Sheppard,Under,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Cedric Coward,Over,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Cedric Coward,Under,9.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jaylen Wells,Over,11.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Jaylen Wells,Under,11.5,-137,2025-10-26,2025-10-25T22:45:44Z
Underdog,player_points,Nikola Jokic,Over,27.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Nikola Jokic,Under,27.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Devin Booker,Over,26.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Devin Booker,Under,26.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jamal Murray,Over,20.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jamal Murray,Under,20.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Dillon Brooks,Over,15.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Dillon Brooks,Under,15.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Aaron Gordon,Over,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Aaron Gordon,Under,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jonas Valanciunas,Over,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jonas Valanciunas,Under,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Grayson Allen,Over,12.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Grayson Allen,Under,12.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Cameron Johnson,Over,14.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Cameron Johnson,Under,14.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Bruce Brown,Over,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Bruce Brown,Under,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Christian Braun,Over,12.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Christian Braun,Under,12.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Royce O'Neale,Over,9.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Royce O'Neale,Under,9.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Ryan Dunn,Over,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Ryan Dunn,Under,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Tim Hardaway Jr,Over,7.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Tim Hardaway Jr,Under,7.5,-137,2025-10-26,2025-10-25T22:46:07Z
