BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
DraftKings,player_points,Matas Buzelis,Under,12.5,-105,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Kevin Huerter,Over,12.5,-120,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Kevin Huerter,Under,12.5,-107,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Wendell Carter Jr,Over,12.5,102,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Wendell Carter Jr,Under,12.5,-130,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Tre Jones,Over,11.5,-103,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Tre Jones,Under,11.5,-123,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Tristan da Silva,Over,10.5,-112,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Tristan da Silva,Under,10.5,-114,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Goga Bitadze,Over,5.5,-112,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Goga Bitadze,Under,5.5,-114,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Nikola Jokic,Over,30.5,-109,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Nikola Jokic,Under,30.5,-117,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Jamal Murray,Over,23.5,-124,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Jamal Murray,Under,23.5,-103,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Anthony Davis,Over,19.5,-113,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Anthony Davis,Under,19.5,-113,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Cooper Flagg,Over,16.5,-125,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Cooper Flagg,Under,16.5,-102,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,P.J. Washington,Over,15.5,-105,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,P.J. Washington,Under,15.5,-122,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Cameron Johnson,Over,14.5,-125,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Cameron Johnson,Under,14.5,-102,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Peyton Watson,Over,12.5,-101,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Peyton Watson,Under,12.5,-126,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Tim Hardaway Jr,Over,11.5,-126,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Tim Hardaway Jr,Under,11.5,-101,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Max Christie,Over,11.5,-105,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Max Christie,Under,11.5,-121,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Jonas Valanciunas,Over,8.5,-123,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Jonas Valanciunas,Under,8.5,-104,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Bruce Brown,Over,7.5,-116,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Bruce Brown,Under,7.5,-109,2025-12-02,2025-12-01T18:43:55Z
DraftKings,player_points,Kevin Durant,Over,25.5,-111,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Kevin Durant,Under,25.5,-115,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Lauri Markkanen,Over,23.5,-113,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Lauri Markkanen,Under,23.5,-113,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Alperen Sengun,Over,20.5,-123,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Alperen Sengun,Under,20.5,-103,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Keyonte George,Over,19.5,-110,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Keyonte George,Under,19.5,-115,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Amen Thompson,Over,16.5,-127,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Amen Thompson,Under,16.5,-101,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Jabari Smith Jr,Over,14.5,-112,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Jabari Smith Jr,Under,14.5,-113,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Reed Sheppard,Over,13.5,-121,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Reed Sheppard,Under,13.5,-106,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Ace Bailey,Over,11.5,-109,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Ace Bailey,Under,11.5,-117,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Brice Sensabaugh,Over,10.5,-118,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Brice Sensabaugh,Under,10.5,-108,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Aaron Holiday,Over,9.5,-119,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Aaron Holiday,Under,9.5,-107,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Kyle Filipowski,Over,8.5,-117,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Kyle Filipowski,Under,8.5,-109,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Jusuf Nurkic,Over,8.5,-116,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Jusuf Nurkic,Under,8.5,-110,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Svi Mykhailiuk,Over,7.5,-110,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Svi Mykhailiuk,Under,7.5,-116,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Steven Adams,Over,5.5,-111,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Steven Adams,Under,5.5,-115,2025-12-02,2025-12-01T18:43:56Z
DraftKings,player_points,Luka Doncic,Over,32.5,-118,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Luka Doncic,Under,32.5,-108,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Devin Booker,Over,26.5,-110,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Devin Booker,Under,26.5,-116,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Austin Reaves,Over,23.5,-114,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Austin Reaves,Under,23.5,-111,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,LeBron James,Over,20.5,-108,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,LeBron James,Under,20.5,-118,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Dillon Brooks,Over,19.5,-113,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Dillon Brooks,Under,19.5,-113,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Grayson Allen,Over,14.5,-102,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Grayson Allen,Under,14.5,-124,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Deandre Ayton,Over,14.5,-101,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Deandre Ayton,Under,14.5,-126,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Mark Williams,Over,12.5,-111,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Mark Williams,Under,12.5,-115,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Collin Gillespie,Over,11.5,-125,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Collin Gillespie,Under,11.5,-102,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Rui Hachimura,Over,11.5,-117,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Rui Hachimura,Under,11.5,-109,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Royce O'Neale,Over,10.5,-110,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Royce O'Neale,Under,10.5,-116,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Ryan Dunn,Over,7.5,-122,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Ryan Dunn,Under,7.5,-105,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Jake LaRavia,Over,4.5,-137,2025-12-02,2025-12-01T18:44:11Z
DraftKings,player_points,Jake LaRavia,Under,4.5,108,2025-12-02,2025-12-01T18:44:11Z
BetOnline.ag,player_points,Giannis Antetokounmpo,Over,30.5,-125,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Giannis Antetokounmpo,Under,30.5,-103,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Bobby Portis,Over,10.5,-108,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Bobby Portis,Under,10.5,-120,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Bilal Coulibaly,Over,10.5,-125,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Bilal Coulibaly,Under,10.5,-103,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kyshawn George,Over,15.5,-116,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kyshawn George,Under,15.5,-111,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Khris Middleton,Over,11.5,-109,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Khris Middleton,Under,11.5,-119,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kevin Porter Jr.,Over,13.5,-105,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kevin Porter Jr.,Under,13.5,-123,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Myles Turner,Over,13.5,-105,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Myles Turner,Under,13.5,-123,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kyle Kuzma,Over,11.5,-110,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Kyle Kuzma,Under,11.5,-118,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,A.J. Green,Over,10.5,-118,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,A.J. Green,Under,10.5,-110,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Gary Trent Jr,Over,8.5,-128,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Gary Trent Jr,Under,8.5,-101,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Carlton Carrington,Over,7.5,-123,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Carlton Carrington,Under,7.5,-105,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Ryan Rollins,Over,16.5,-108,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Ryan Rollins,Under,16.5,-120,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,C.J. McCollum,Over,19.5,-111,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,C.J. McCollum,Under,19.5,-116,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Cam Whitmore,Over,9.5,-130,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Cam Whitmore,Under,9.5,100,2025-12-02,2025-12-01T18:40:43Z
BetOnline.ag,player_points,Tobias Harris,Over,13.5,-103,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Tobias Harris,Under,13.5,-125,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Ausar Thompson,Over,11.5,-119,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Ausar Thompson,Under,11.5,-109,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Cade Cunningham,Over,28.5,-110,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Cade Cunningham,Under,28.5,-118,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Dyson Daniels,Over,11.5,-122,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Dyson Daniels,Under,11.5,-106,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Zaccharie Risacher,Over,11.5,-108,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Zaccharie Risacher,Under,11.5,-120,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Nickeil Alexander-Walker,Over,19.5,-110,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Nickeil Alexander-Walker,Under,19.5,-118,2025-12-02,2025-12-01T18:43:25Z
BetOnline.ag,player_points,Duncan Robinson,Over,11.5,-110,2025-12-02,2025-12-01T18:43:25Z
