Game,Tipoff,Season,Score,Over_Under,Home_Line
IND @ UTA,Nov 11 9:00 PM,2021,111-100,215.0,-10.5
MIA @ LAC,Nov 11 10:30 PM,2021,109-112,211.5,-5.0
NYK @ CHA,Nov 12 7:00 PM,2021,96-104,225.0,2.5
MIL @ BOS,Nov 12 7:30 PM,2021,113-122,209.0,1.0
DET @ CLE,Nov 12 7:30 PM,2021,78-98,200.0,-4.5
POR @ HOU,Nov 12 8:00 PM,2021,104-92,222.5,7.0
PHX @ MEM,Nov 12 8:00 PM,2021,119-94,222.5,2.0
BKN @ NOP,Nov 12 8:00 PM,2021,120-112,215.0,9.5
SAC @ OKC,Nov 12 8:00 PM,2021,103-105,218.5,5.0
DAL @ SAS,Nov 12 8:30 PM,2021,123-109,220.0,2.5
ATL @ DEN,Nov 12 9:00 PM,2021,96-105,214.0,-3.5
CHI @ GSW,Nov 12 10:00 PM,2021,93-119,222.5,-5.5
MIN @ LAL,Nov 12 10:30 PM,2021,107-83,223.5,-1.0
MIA @ UTA,Nov 13 5:00 PM,2021,111-105,212.0,-9.0
PHI @ IND,Nov 13 7:00 PM,2021,113-118,213.5,-3.5
MEM @ NOP,Nov 13 7:00 PM,2021,101-112,219.0,3.5
WAS @ ORL,Nov 13 7:00 PM,2021,104-92,203.5,4.5
DET @ TOR,Nov 13 7:30 PM,2021,127-121,200.5,-8.5
BOS @ CLE,Nov 13 8:00 PM,2021,89-91,202.0,2.0
MIN @ LAC,Nov 13 10:30 PM,2021,102-129,220.5,-7.0
SAS @ LAL,Nov 14 3:30 PM,2021,106-114,219.5,-2.0
MIL @ ATL,Nov 14 6:00 PM,2021,100-120,223.5,-2.0
GSW @ CHA,Nov 14 7:00 PM,2021,102-106,227.5,5.5
PHX @ HOU,Nov 14 7:00 PM,2021,115-89,221.5,8.5
BKN @ OKC,Nov 14 7:00 PM,2021,120-96,215.5,9.0
POR @ DEN,Nov 14 8:00 PM,2021,95-124,208.0,-6.0
CHI @ LAC,Nov 14 9:30 PM,2021,100-90,219.0,-3.5
BOS @ CLE,Nov 15 7:00 PM,2021,98-92,199.0,4.0
SAC @ DET,Nov 15 7:00 PM,2021,129-107,214.0,4.0
NOP @ WAS,Nov 15 7:00 PM,2021,100-105,208.5,-4.5
ORL @ ATL,Nov 15 7:30 PM,2021,111-129,215.0,-10.5
IND @ NYK,Nov 15 7:30 PM,2021,84-92,211.0,-3.0
DEN @ DAL,Nov 15 8:00 PM,2021,101-111,209.0,-5.5
HOU @ MEM,Nov 15 8:00 PM,2021,102-136,219.0,-11.5
PHX @ MIN,Nov 15 8:00 PM,2021,99-96,222.0,4.0
MIA @ OKC,Nov 15 8:00 PM,2021,103-90,207.0,6.5
TOR @ POR,Nov 15 10:00 PM,2021,113-118,216.0,-3.0
CHI @ LAL,Nov 15 10:30 PM,2021,121-103,216.0,2.0
GSW @ BKN,Nov 16 7:30 PM,2021,117-99,223.0,-3.0
PHI @ UTA,Nov 16 10:00 PM,2021,85-120,216.5,-11.5
SAS @ LAC,Nov 16 10:30 PM,2021,92-106,221.0,-8.0
WAS @ CHA,Nov 17 7:00 PM,2021,87-97,220.5,-1.0
IND @ DET,Nov 17 7:00 PM,2021,89-97,206.0,6.5
BOS @ ATL,Nov 17 7:30 PM,2021,99-110,216.0,-5.0
CLE @ BKN,Nov 17 7:30 PM,2021,99-109,206.5,-10.0
NOP @ MIA,Nov 17 7:30 PM,2021,98-113,210.5,-6.5
LAL @ MIL,Nov 17 7:30 PM,2021,102-109,222.5,-9.0
ORL @ NYK,Nov 17 7:30 PM,2021,104-98,207.0,-11.5
SAC @ MIN,Nov 17 8:00 PM,2021,97-107,228.0,-2.5
HOU @ OKC,Nov 17 8:00 PM,2021,89-101,214.5,-3.0
DAL @ PHX,Nov 17 10:00 PM,2021,98-105,212.0,-8.0
CHI @ POR,Nov 17 10:00 PM,2021,107-112,221.5,-3.5
GSW @ CLE,Nov 18 7:30 PM,2021,104-89,208.5,9.5
WAS @ MIA,Nov 18 7:30 PM,2021,97-112,206.5,-6.5
LAC @ MEM,Nov 18 8:00 PM,2021,108-120,220.5,1.5
SAS @ MIN,Nov 18 8:00 PM,2021,90-115,219.5,-2.0
