NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Zaccharie Risacher,BetOnline.ag,player_points,10.5,-111,Over,18.01,0,0.819,0.181,0.526,0.819,0.293,5.57,0.619,2.25,"(1.9, 34.1)",32.25,8.23,High,Analytical
Derik Queen,Bovada,player_points,9.5,145,Over,11.84,0,0.634,0.366,0.408,0.634,0.226,5.54,0.382,3.63,"(0.0, 25.2)",25.19,6.81,High,Analytical
Keyonte George,BetRivers,player_points,18.5,106,Over,25.33,0,0.754,0.246,0.485,0.754,0.269,5.54,0.522,2.65,"(5.9, 44.8)",38.9,9.92,High,Analytical
Isaac Okoro,Bovada,player_points,8.5,130,Over,11.48,0,0.675,0.325,0.435,0.675,0.24,5.53,0.425,3.25,"(0.0, 24.3)",24.32,6.55,High,Analytical
Reed Sheppard,BetMGM,player_points,9.5,-115,Over,18.86,0,0.83,0.17,0.535,0.83,0.295,5.51,0.634,2.17,"(0.0, 38.1)",38.11,9.82,High,Analytical
Reed Sheppard,Bovada,player_points,9.5,-115,Over,18.86,0,0.83,0.17,0.535,0.83,0.295,5.51,0.634,2.17,"(0.0, 38.1)",38.11,9.82,High,Analytical
Dennis Schroder,FanDuel,player_points,12.5,-111,Over,20.03,0,0.815,0.185,0.526,0.815,0.289,5.49,0.609,2.25,"(3.5, 36.5)",32.96,8.41,High,Analytical
Royce O'Neale,Bovada,player_points,10.5,100,Over,16.83,0,0.774,0.226,0.5,0.774,0.274,5.49,0.549,2.5,"(0.4, 33.3)",32.95,8.41,High,Analytical
P.J. Washington,Bovada,player_points,16.5,140,Over,19.62,0,0.645,0.355,0.417,0.645,0.228,5.48,0.392,3.5,"(3.2, 36.0)",32.85,8.38,High,Analytical
Jrue Holiday,Bovada,player_points,16.5,130,Over,20.41,0,0.673,0.327,0.435,0.673,0.238,5.47,0.421,3.25,"(3.3, 37.5)",34.28,8.74,High,Analytical
Kevin Durant,FanDuel,player_points,25.5,-115,Over,34.19,0,0.827,0.173,0.535,0.827,0.292,5.46,0.628,2.17,"(16.1, 52.2)",36.12,9.21,High,Analytical
Kevin Durant,Bovada,player_points,25.5,-115,Over,34.19,0,0.827,0.173,0.535,0.827,0.292,5.46,0.628,2.17,"(16.1, 52.2)",36.12,9.21,High,Analytical
Zach LaVine,Bovada,player_points,26.5,185,Over,27.68,0,0.542,0.458,0.351,0.542,0.192,5.46,0.295,4.62,"(6.0, 49.4)",43.38,11.07,High,Analytical
Zion Williamson,Bovada,player_points,26.5,135,Over,29.95,0,0.658,0.342,0.426,0.658,0.232,5.46,0.404,3.38,"(13.3, 46.6)",33.3,8.49,High,Analytical
Yves Missi,Bovada,player_points,8.5,155,Over,10.12,0,0.606,0.394,0.392,0.606,0.214,5.46,0.352,3.87,"(0.0, 21.9)",21.93,6.02,High,Analytical
Bronny James,BetMGM,player_points,4.5,-118,Over,10.09,0,0.836,0.164,0.541,0.836,0.295,5.45,0.643,2.12,"(0.0, 21.3)",21.27,5.71,Med,Analytical
Lauri Markkanen,Bovada,player_points,26.5,155,Over,29.3,0,0.605,0.395,0.392,0.605,0.213,5.42,0.35,3.87,"(8.6, 50.0)",41.33,10.54,High,Analytical
Tari Eason,DraftKings,player_points,10.5,100,Over,15.01,0,0.771,0.229,0.5,0.771,0.271,5.41,0.541,2.5,"(3.1, 26.9)",23.85,6.08,High,Analytical
