player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Alex Caruso,Corey Kispert,Chris Paul,8.0,6.5,4.5,11.03,10.5,9.01,over,over,over,0.703,0.753,0.791,0.3392,0.125,0.175,0.213,0.171,1.03,0.207,0,"(0.0, 22.2)","(0.0, 22.2)","(0.0, 19.6)",22.18,22.22,19.57,5.69,5.98,5.39,Med,Med,Med,Monte Carlo
Sion James,Alex Caruso,Corey Kispert,5.5,8.0,6.5,10.28,11.03,10.5,over,over,over,0.798,0.705,0.741,0.3378,0.22,0.127,0.163,0.17,1.03,0.205,0,"(0.0, 21.5)","(0.0, 22.2)","(0.0, 22.2)",21.46,22.18,22.22,5.7,5.69,5.98,Med,Med,Med,Monte Carlo
Alex Caruso,Corey Kispert,Jaylin Williams,8.0,6.5,5.5,11.03,10.5,9.99,over,over,over,0.703,0.753,0.785,0.3367,0.125,0.175,0.207,0.169,1.02,0.204,0,"(0.0, 22.2)","(0.0, 22.2)","(0.0, 20.7)",22.18,22.22,20.72,5.69,5.98,5.48,Med,Med,Med,Monte Carlo
Keldon Johnson,Harrison Barnes,Aaron Gordon,11.5,9.5,15.5,14.12,11.58,24.31,over,over,over,0.683,0.649,0.937,0.3367,0.105,0.071,0.359,0.179,1.02,0.204,0,"(3.4, 24.8)","(0.5, 22.6)","(12.9, 35.7)",21.37,22.08,22.74,5.45,5.63,5.8,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Chris Paul,5.5,9.5,4.5,10.28,11.58,9.01,over,over,over,0.798,0.649,0.791,0.332,0.22,0.071,0.213,0.168,0.99,0.198,0,"(0.0, 21.5)","(0.5, 22.6)","(0.0, 19.6)",21.46,22.08,19.57,5.7,5.63,5.39,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Harrison Barnes,5.5,5.5,9.5,10.28,9.99,11.58,over,over,over,0.798,0.8,0.641,0.332,0.22,0.222,0.063,0.169,0.99,0.198,0,"(0.0, 21.5)","(0.0, 20.7)","(0.5, 22.6)",21.46,20.72,22.08,5.7,5.48,5.63,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Keldon Johnson,5.5,6.5,11.5,10.28,10.5,14.12,over,over,over,0.798,0.753,0.68,0.3316,0.22,0.175,0.102,0.166,0.99,0.198,0,"(0.0, 21.5)","(0.0, 22.2)","(3.4, 24.8)",21.46,22.22,21.37,5.7,5.98,5.45,Med,Med,Med,Monte Carlo
Corey Kispert,Jaylin Williams,Keldon Johnson,6.5,5.5,11.5,10.5,9.99,14.12,over,over,over,0.749,0.8,0.68,0.3306,0.171,0.222,0.102,0.165,0.98,0.197,0,"(0.0, 22.2)","(0.0, 20.7)","(3.4, 24.8)",22.22,20.72,21.37,5.98,5.48,5.45,Med,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,Chris Paul,5.5,9.5,4.5,9.99,11.58,9.01,over,over,over,0.792,0.649,0.791,0.3295,0.214,0.071,0.213,0.166,0.98,0.195,0,"(0.0, 20.7)","(0.5, 22.6)","(0.0, 19.6)",20.72,22.08,19.57,5.48,5.63,5.39,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Chris Paul,6.5,11.5,4.5,10.5,14.12,9.01,over,over,over,0.749,0.686,0.791,0.3292,0.171,0.108,0.213,0.164,0.97,0.195,0,"(0.0, 22.2)","(3.4, 24.8)","(0.0, 19.6)",22.22,21.37,19.57,5.98,5.45,5.39,Med,Med,Med,Monte Carlo
Bobby Portis,Alex Caruso,Aaron Gordon,9.5,8.0,15.5,10.8,11.03,24.31,over,over,over,0.6,0.705,0.937,0.3209,0.022,0.127,0.359,0.169,0.93,0.185,0,"(0.7, 20.9)","(0.0, 22.2)","(12.9, 35.7)",20.17,22.18,22.74,5.15,5.69,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Keldon Johnson,Aaron Gordon,9.5,11.5,15.5,10.8,14.12,24.31,over,over,over,0.6,0.686,0.937,0.3122,0.022,0.108,0.359,0.163,0.87,0.175,0,"(0.7, 20.9)","(3.4, 24.8)","(12.9, 35.7)",20.17,21.37,22.74,5.15,5.45,5.8,Med,Med,Med,Monte Carlo
