BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
PrizePicks,player_points_rebounds_assists,Kelsey Mitchell,Under,24.5,-137
PrizePicks,player_points_rebounds_assists,Aliyah Boston,Over,25.5,-137
PrizePicks,player_points_rebounds_assists,Aliyah Boston,Under,25.5,-137
PrizePicks,player_points_rebounds_assists,Natasha Howard,Over,20.5,-137
PrizePicks,player_points_rebounds_assists,Natasha Howard,Under,20.5,-137
PrizePicks,player_points_rebounds_assists,Odyssey Sims,Over,17.5,-137
PrizePicks,player_points_rebounds_assists,Odyssey Sims,Under,17.5,-137
PrizePicks,player_points_rebounds_assists,Leonie Fiebich,Over,12.5,-137
PrizePicks,player_points_rebounds_assists,Leonie Fiebich,Under,12.5,-137
PrizePicks,player_points_rebounds_assists,Breanna Stewart,Over,29.5,-137
PrizePicks,player_points_rebounds_assists,Breanna Stewart,Under,29.5,-137
PrizePicks,player_points_rebounds_assists,Sabrina Ionescu,Over,28.5,-137
PrizePicks,player_points_rebounds_assists,Sabrina Ionescu,Under,28.5,-137
PrizePicks,player_points_rebounds_assists,Jonquel Jones,Over,25.5,-137
PrizePicks,player_points_rebounds_assists,Jonquel Jones,Under,25.5,-137
PrizePicks,player_points_rebounds_assists,Natasha Cloud,Over,17.5,-137
PrizePicks,player_points_rebounds_assists,Natasha Cloud,Under,17.5,-137
PrizePicks,player_points_rebounds_assists,Kahleah Copper,Over,23.5,-137
PrizePicks,player_points_rebounds_assists,Kahleah Copper,Under,23.5,-137
PrizePicks,player_points_rebounds_assists,Satou Sabally,Over,25.5,-137
PrizePicks,player_points_rebounds_assists,Satou Sabally,Under,25.5,-137
PrizePicks,player_points_rebounds_assists,Alyssa Thomas,Over,34.0,-137
PrizePicks,player_points_rebounds_assists,Alyssa Thomas,Under,34.0,-137
PrizePicks,player_points_rebounds_assists,Emma Meesseman,Over,18.5,-137
PrizePicks,player_points_rebounds_assists,Emma Meesseman,Under,18.5,-137
PrizePicks,player_points_rebounds_assists,Gabby Williams,Over,16.5,-137
PrizePicks,player_points_rebounds_assists,Gabby Williams,Under,16.5,-137
PrizePicks,player_points_rebounds_assists,A'ja Wilson,Over,39.5,-137
PrizePicks,player_points_rebounds_assists,A'ja Wilson,Under,39.5,-137
PrizePicks,player_points_rebounds_assists,Chelsea Gray,Over,21.5,-137
PrizePicks,player_points_rebounds_assists,Chelsea Gray,Under,21.5,-137
PrizePicks,player_points_rebounds_assists,Jackie Young,Over,26.5,-137
PrizePicks,player_points_rebounds_assists,Jackie Young,Under,26.5,-137
PrizePicks,player_points_rebounds_assists,Skylar Diggins-Smith,Over,21.5,-137
PrizePicks,player_points_rebounds_assists,Skylar Diggins-Smith,Under,21.5,-137
PrizePicks,player_points_rebounds_assists,Nneka Ogwumike,Over,27.5,-137
PrizePicks,player_points_rebounds_assists,Nneka Ogwumike,Under,27.5,-137
PrizePicks,player_points_rebounds_assists,Brittney Sykes,Over,17.5,-137
PrizePicks,player_points_rebounds_assists,Brittney Sykes,Under,17.5,-137
Underdog,player_points_rebounds_assists,Aliyah Boston,Over,25.5,-137
Underdog,player_points_rebounds_assists,Aliyah Boston,Under,25.5,-137
Underdog,player_points_rebounds_assists,Rhyne Howard,Over,26.5,-137
Underdog,player_points_rebounds_assists,Rhyne Howard,Under,26.5,-137
Underdog,player_points_rebounds_assists,Skylar Diggins-Smith,Over,21.5,-137
Underdog,player_points_rebounds_assists,Skylar Diggins-Smith,Under,21.5,-137
PrizePicks,player_points_rebounds,Napheesa Collier,Over,28.5,-137
PrizePicks,player_points_rebounds,Napheesa Collier,Under,28.5,-137
PrizePicks,player_points_rebounds,Courtney Williams,Over,17.5,-137
PrizePicks,player_points_rebounds,Courtney Williams,Under,17.5,-137
PrizePicks,player_points_rebounds,Tiffany Hayes,Over,13.5,-137
PrizePicks,player_points_rebounds,Tiffany Hayes,Under,13.5,-137
PrizePicks,player_points_rebounds,Veronica Burton,Over,16.5,-137
PrizePicks,player_points_rebounds,Veronica Burton,Under,16.5,-137
PrizePicks,player_points_rebounds,Janelle Salaun,Over,16.5,-137
PrizePicks,player_points_rebounds,Janelle Salaun,Under,16.5,-137
PrizePicks,player_points_rebounds,Allisha Gray,Over,21.5,-137
PrizePicks,player_points_rebounds,Allisha Gray,Under,21.5,-137
PrizePicks,player_points_rebounds,Naz Hillmon,Over,16.5,-137
PrizePicks,player_points_rebounds,Naz Hillmon,Under,16.5,-137
PrizePicks,player_points_rebounds,Rhyne Howard,Over,21.5,-137
PrizePicks,player_points_rebounds,Rhyne Howard,Under,21.5,-137
PrizePicks,player_points_rebounds,Brionna Jones,Over,21.5,-137
PrizePicks,player_points_rebounds,Brionna Jones,Under,21.5,-137
PrizePicks,player_points_rebounds,Aliyah Boston,Over,22.0,-137
PrizePicks,player_points_rebounds,Aliyah Boston,Under,22.0,-137
PrizePicks,player_points_rebounds,Natasha Howard,Over,18.5,-137
PrizePicks,player_points_rebounds,Natasha Howard,Under,18.5,-137
PrizePicks,player_points_rebounds,Odyssey Sims,Over,13.5,-137
PrizePicks,player_points_rebounds,Odyssey Sims,Under,13.5,-137
PrizePicks,player_points_rebounds,Breanna Stewart,Over,26.5,-137
PrizePicks,player_points_rebounds,Breanna Stewart,Under,26.5,-137
PrizePicks,player_points_rebounds,Sabrina Ionescu,Over,22.5,-137
PrizePicks,player_points_rebounds,Sabrina Ionescu,Under,22.5,-137
PrizePicks,player_points_rebounds,Jonquel Jones,Over,22.5,-137
PrizePicks,player_points_rebounds,Jonquel Jones,Under,22.5,-137
PrizePicks,player_points_rebounds,Natasha Cloud,Over,13.0,-137
PrizePicks,player_points_rebounds,Natasha Cloud,Under,13.0,-137
PrizePicks,player_points_rebounds,Kahleah Copper,Over,20.5,-137
PrizePicks,player_points_rebounds,Kahleah Copper,Under,20.5,-137
PrizePicks,player_points_rebounds,Satou Sabally,Over,22.5,-137
PrizePicks,player_points_rebounds,Satou Sabally,Under,22.5,-137
PrizePicks,player_points_rebounds,Alyssa Thomas,Over,25.5,-137
PrizePicks,player_points_rebounds,Alyssa Thomas,Under,25.5,-137
PrizePicks,player_points_rebounds,Emma Meesseman,Over,15.0,-137
PrizePicks,player_points_rebounds,Emma Meesseman,Under,15.0,-137
PrizePicks,player_points_rebounds,DeWanna Bonner,Over,14.5,-137
PrizePicks,player_points_rebounds,DeWanna Bonner,Under,14.5,-137
PrizePicks,player_points_rebounds,A'ja Wilson,Over,35.5,-137
PrizePicks,player_points_rebounds,A'ja Wilson,Under,35.5,-137
PrizePicks,player_points_rebounds,Chelsea Gray,Over,15.5,-137
PrizePicks,player_points_rebounds,Chelsea Gray,Under,15.5,-137
PrizePicks,player_points_rebounds,Skylar Diggins-Smith,Over,16.0,-137
PrizePicks,player_points_rebounds,Skylar Diggins-Smith,Under,16.0,-137
PrizePicks,player_points_rebounds,Nneka Ogwumike,Over,24.5,-137
PrizePicks,player_points_rebounds,Nneka Ogwumike,Under,24.5,-137
Underdog,player_points_rebounds,Courtney Williams,Over,17.5,-137
Underdog,player_points_rebounds,Courtney Williams,Under,17.5,-137
