market,bookmaker,player,side,line,price,home_team,away_team,game_id,commence_time
player_points,Underdog,Jimmy Butler,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Jimmy Butler,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Franz Wagner,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Franz Wagner,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Bam Adebayo,Over,16.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Bam Adebayo,Under,16.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Jalen Suggs,Over,13.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Jalen Suggs,Under,13.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Tyler Herro,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Tyler Herro,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Wendell Carter Jr,Over,10.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Wendell Carter Jr,Under,10.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Terry Rozier,Over,15.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Terry Rozier,Under,15.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Kentavious Caldwell-Pope,Over,8.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Kentavious Caldwell-Pope,Under,8.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Nikola Jovic,Over,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Nikola Jovic,Under,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Paolo Banchero,Over,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Paolo Banchero,Under,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Jalen Suggs,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Jalen Suggs,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Tyler Herro,Over,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Tyler Herro,Under,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Nikola Jovic,Over,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,Underdog,Nikola Jovic,Under,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Franz Wagner,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Franz Wagner,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Jimmy Butler,Over,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Jimmy Butler,Under,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Jalen Suggs,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Jalen Suggs,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Paolo Banchero,Over,6.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
