NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Caleb Martin,rebounds,under,betrivers,5.5,-155,5.5,-132,2024-10-27
Caleb Martin,points,under,betrivers,11.5,-103,11.5,111,2024-10-27
Aaron Nesmith,rebounds,over,betrivers,3.5,105,3.5,119,2024-10-27
Aaron Nesmith,rebounds,under,betrivers,3.5,-139,3.5,-119,2024-10-27
Tyrese Haliburton,rebounds,over,betrivers,3.5,-175,3.5,-145,2024-10-27
Pascal Siakam,points,over,betrivers,20.5,-106,20.5,108,2024-10-27
Tyrese Haliburton,points,under,betrivers,17.5,-124,17.5,-107,2024-10-27
Pascal Siakam,points,under,betrivers,20.5,-125,20.5,-108,2024-10-27
Myles Turner,rebounds,under,betrivers,7.5,112,7.5,127,2024-10-27
Andrew Nembhard,rebounds,over,betrivers,2.5,-127,2.5,-109,2024-10-27
Tyrese Haliburton,rebounds,under,betrivers,3.5,128,3.5,145,2024-10-27
Andrew Nembhard,points,under,betrivers,9.5,-122,9.5,-106,2024-10-27
Myles Turner,rebounds,over,betrivers,7.5,-150,7.5,-127,2024-10-27
Tyrese Maxey,assists,over,betrivers,5.5,-136,5.5,-116,2024-10-27
Caleb Martin,points,over,betrivers,11.5,-130,11.5,-111,2024-10-27
Tyrese Maxey,points,over,betrivers,28.5,-125,28.5,-107,2024-10-27
Tyrese Maxey,points,under,betrivers,28.5,-107,28.5,107,2024-10-27
Pascal Siakam,assists,over,betrivers,3.5,-104,3.5,110,2024-10-27
Tyrese Maxey,rebounds,over,betrivers,3.5,-150,3.5,-127,2024-10-27
Pascal Siakam,rebounds,over,betrivers,7.5,-107,7.5,107,2024-10-27
Tyrese Maxey,rebounds,under,betrivers,3.5,112,3.5,127,2024-10-27
Aaron Nesmith,points,over,betrivers,9.5,-110,9.5,105,2024-10-27
Myles Turner,points,under,betrivers,16.5,-130,16.5,-111,2024-10-27
Giannis Antetokounmpo,points,over,espnbet,24.5,-105,24.5,108,2024-10-27
Giannis Antetokounmpo,rebounds,under,espnbet,13.5,-160,13.5,-107,2024-10-27
