,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,version https://git-lfs.github.com/spec/v1
12677,PrizePicks,player_points,Max Christie,Under,11.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12678,PrizePicks,player_points,Duncan Robinson,Over,10.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12679,PrizePicks,player_points,Duncan Robinson,Under,10.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12680,PrizePicks,player_points,Ron Holland,Over,9.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12681,PrizePicks,player_points,Ron Holland,Under,9.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12682,PrizePicks,player_points,Dwight Powell,Over,5.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12683,PrizePicks,player_points,Dwight Powell,Under,5.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12684,DraftKings Pick6,player_points,Zach LaVine,Over,23.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12685,DraftKings Pick6,player_points,Zach LaVine,Under,23.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12686,DraftKings Pick6,player_points,DeMar DeRozan,Over,20.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12687,DraftKings Pick6,player_points,DeMar DeRozan,Under,20.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12688,DraftKings Pick6,player_points,Domantas Sabonis,Over,15.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12689,DraftKings Pick6,player_points,Domantas Sabonis,Under,15.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12690,DraftKings Pick6,player_points,Ryan Rollins,Over,14.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12691,DraftKings Pick6,player_points,Ryan Rollins,Under,14.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12692,DraftKings Pick6,player_points,Myles Turner,Over,14.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12693,DraftKings Pick6,player_points,Myles Turner,Under,14.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12694,DraftKings Pick6,player_points,Gary Trent Jr,Over,13.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12695,DraftKings Pick6,player_points,Gary Trent Jr,Under,13.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12696,DraftKings Pick6,player_points,Dennis Schroder,Over,12.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12697,DraftKings Pick6,player_points,Dennis Schroder,Under,12.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12698,DraftKings Pick6,player_points,Russell Westbrook,Over,12.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12699,DraftKings Pick6,player_points,Russell Westbrook,Under,12.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12700,DraftKings Pick6,player_points,Bobby Portis,Over,10.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12701,DraftKings Pick6,player_points,Bobby Portis,Under,10.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12702,DraftKings Pick6,player_points,Kyle Kuzma,Over,9.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12703,DraftKings Pick6,player_points,Kyle Kuzma,Under,9.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12704,DraftKings Pick6,player_points,Keon Ellis,Over,7.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12705,DraftKings Pick6,player_points,Keon Ellis,Under,7.5,-137.0,2025-11-01,2025-11-01T18:18:16Z,
12706,DraftKings Pick6,player_points,Julius Randle,Over,24.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12707,DraftKings Pick6,player_points,Julius Randle,Under,24.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12708,DraftKings Pick6,player_points,Miles Bridges,Over,19.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12709,DraftKings Pick6,player_points,Miles Bridges,Under,19.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12710,DraftKings Pick6,player_points,Jaden McDaniels,Over,18.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12711,DraftKings Pick6,player_points,Jaden McDaniels,Under,18.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12712,DraftKings Pick6,player_points,Collin Sexton,Over,18.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12713,DraftKings Pick6,player_points,Collin Sexton,Under,18.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12714,DraftKings Pick6,player_points,Donte DiVincenzo,Over,15.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12715,DraftKings Pick6,player_points,Donte DiVincenzo,Under,15.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12716,DraftKings Pick6,player_points,Kon Knueppel,Over,13.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12717,DraftKings Pick6,player_points,Kon Knueppel,Under,13.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12718,DraftKings Pick6,player_points,Naz Reid,Over,13.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12719,DraftKings Pick6,player_points,Naz Reid,Under,13.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12720,DraftKings Pick6,player_points,Rudy Gobert,Over,11.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12721,DraftKings Pick6,player_points,Rudy Gobert,Under,11.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12722,DraftKings Pick6,player_points,Mike Conley,Over,8.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12723,DraftKings Pick6,player_points,Mike Conley,Under,8.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12724,DraftKings Pick6,player_points,Moussa Diabate,Over,7.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12725,DraftKings Pick6,player_points,Moussa Diabate,Under,7.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12726,DraftKings Pick6,player_points,Sion James,Over,6.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12727,DraftKings Pick6,player_points,Sion James,Under,6.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12728,DraftKings Pick6,player_points,Terrence Shannon Jr.,Over,6.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12729,DraftKings Pick6,player_points,Terrence Shannon Jr.,Under,6.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12730,DraftKings Pick6,player_points,Collin Sexton,Over,19.5,-137.0,2025-11-01,2025-11-01T18:18:36Z,
12731,DraftKings Pick6,player_points,Stephen Curry,Over,25.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12732,DraftKings Pick6,player_points,Stephen Curry,Under,25.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12733,DraftKings Pick6,player_points,Pascal Siakam,Over,24.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12734,DraftKings Pick6,player_points,Pascal Siakam,Under,24.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12735,DraftKings Pick6,player_points,Jimmy Butler,Over,20.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12736,DraftKings Pick6,player_points,Jimmy Butler,Under,20.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12737,DraftKings Pick6,player_points,Jonathan Kuminga,Over,16.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12738,DraftKings Pick6,player_points,Jonathan Kuminga,Under,16.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12739,DraftKings Pick6,player_points,Aaron Nesmith,Over,14.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12740,DraftKings Pick6,player_points,Aaron Nesmith,Under,14.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12741,DraftKings Pick6,player_points,Jarace Walker,Over,13.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12742,DraftKings Pick6,player_points,Jarace Walker,Under,13.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12743,DraftKings Pick6,player_points,Brandin Podziemski,Over,12.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
